session_id,lap_number,attacker_code,defender_code,causal_scipy_decision,scipy_engine_decision,xgb_engine_decision,xgb_status,causal_vs_scipy_disagreement,causal_vs_xgb_disagreement,scipy_vs_xgb_disagreement
abu_dhabi_2024_R,1,SAI,NOR,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,GAS,SAI,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,RUS,GAS,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,HUL,RUS,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,ALO,HUL,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,MAG,ALO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,LEC,MAG,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,STR,LEC,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,LAW,STR,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,VER,LAW,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,HAM,VER,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,BOT,HAM,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,ZHO,BOT,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,ALB,ZHO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,DOO,ALB,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,TSU,DOO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,COL,TSU,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,1,PIA,COL,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,SAI,NOR,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,GAS,SAI,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,RUS,GAS,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,HUL,RUS,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,ALO,HUL,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,MAG,ALO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,LEC,MAG,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,STR,LEC,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,LAW,STR,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,VER,LAW,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,HAM,VER,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,BOT,HAM,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,ZHO,BOT,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,ALB,ZHO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,DOO,ALB,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,TSU,DOO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,COL,TSU,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,2,PIA,COL,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,SAI,NOR,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,GAS,SAI,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,RUS,GAS,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,HUL,RUS,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,ALO,HUL,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,MAG,ALO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,LEC,MAG,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,STR,LEC,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,VER,STR,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,LAW,VER,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,HAM,LAW,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,BOT,HAM,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,ZHO,BOT,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,ALB,ZHO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,TSU,ALB,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,DOO,TSU,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,PIA,DOO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,3,COL,PIA,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,SAI,NOR,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,GAS,SAI,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,RUS,GAS,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,HUL,RUS,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,ALO,HUL,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,MAG,ALO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,LEC,MAG,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,STR,LEC,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,VER,STR,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,LAW,VER,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,HAM,LAW,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,BOT,HAM,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,ZHO,BOT,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,ALB,ZHO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,TSU,ALB,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,DOO,TSU,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,PIA,DOO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,4,COL,PIA,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,5,SAI,NOR,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,5,GAS,SAI,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,5,RUS,GAS,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,5,HUL,RUS,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,5,ALO,HUL,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,5,MAG,ALO,False,False,,unavailable_feature_pipeline,False,,
abu_dhabi_2024_R,5,LEC,MAG,False,False,,unavailable_feature_pipeline,False,,
